id,name,group,transport,volume,tags,price_avg,source
advancedcomposites,Advanced Composites,hightech,container,32,container economy stationbuilding,540,
advancedelectronics,Advanced Electronics,shiptech,container,30,container economy stationbuilding,1014,
antimattercells,Antimatter Cells,refined,container,18,container economy,202,
antimatterconverters,Antimatter Converters,shiptech,container,10,container economy,354,
bomb_player_limpet_emp_01_mk1,Spacesuit EMP,hardware,inventory,1,bomb crafting inventory personalupgrade,120000,
bomb_player_limpet_mine_01_mk1,Spacesuit Bomb,hardware,inventory,1,bomb crafting inventory personalupgrade,90000,
claytronics,Claytronics,shiptech,container,24,container economy stationbuilding,2040,
clothingmod_0001,Clothing Mod 0001,,inventory,1,clothingmod inventory,1,
clothingmod_0002,Clothing Mod 0002,,inventory,1,clothingmod inventory,1,
clothingmod_0003,Clothing Mod 0001,,inventory,1,clothingmod inventory,1,
countermeasure_flares_01,Flares,countermeasures,equipment,1,countermeasure equipment,2421,
credits,Credits,,inventory,1,,1,
crew,Crewman,,passenger,1,,7500,
dronecomponents,Drone Components,shiptech,container,30,container economy,914,
energycells,Energy Cells,energy,container,1,container economy stationbuilding,16,
engineparts,Engine Parts,hightech,container,15,container economy,182,
engine_arg_l_allround_01_mk1,ARG L All-round Engine Mk1,engines,equipment,1,engine equipment,357242,
engine_arg_l_travel_01_mk1,ARG L Travel Engine Mk1,engines,equipment,1,engine equipment,375104,
engine_arg_m_allround_01_mk1,ARG M All-round Engine Mk1,engines,equipment,1,engine equipment,13074,
engine_arg_m_allround_01_mk2,ARG M All-round Engine Mk2,engines,equipment,1,engine equipment,64629,
engine_arg_m_allround_01_mk3,ARG M All-round Engine Mk3,engines,equipment,1,engine equipment,319691,
engine_arg_m_combat_01_mk1,ARG M Combat Engine Mk1,engines,equipment,1,engine equipment,15952,
engine_arg_m_combat_01_mk2,ARG M Combat Engine Mk2,engines,equipment,1,engine equipment,77457,
engine_arg_m_combat_01_mk3,ARG M Combat Engine Mk3,engines,equipment,1,engine equipment,383827,
engine_arg_m_travel_01_mk1,ARG M Travel Engine Mk1,engines,equipment,1,engine equipment,14513,
engine_arg_m_travel_01_mk2,ARG M Travel Engine Mk2,engines,equipment,1,engine equipment,72482,
engine_arg_m_travel_01_mk3,ARG M Travel Engine Mk3,engines,equipment,1,engine equipment,367793,
engine_arg_s_allround_01_mk1,ARG S All-round Engine Mk1,engines,equipment,1,engine equipment,6140,
engine_arg_s_allround_01_mk2,ARG S All-round Engine Mk2,engines,equipment,1,engine equipment,29300,
engine_arg_s_allround_01_mk3,ARG S All-round Engine Mk3,engines,equipment,1,engine equipment,137001,
engine_arg_s_combat_01_mk1,ARG S Combat Engine Mk1,engines,equipment,1,engine equipment,9017,
engine_arg_s_combat_01_mk2,ARG S Combat Engine Mk2,engines,equipment,1,engine equipment,45005,
engine_arg_s_combat_01_mk3,ARG S Combat Engine Mk3,engines,equipment,1,engine equipment,201137,
engine_arg_s_travel_01_mk1,ARG S Travel Engine Mk1,engines,equipment,1,engine equipment,7579,
engine_arg_s_travel_01_mk2,ARG S Travel Engine Mk2,engines,equipment,1,engine equipment,38591,
engine_arg_s_travel_01_mk3,ARG S Travel Engine Mk3,engines,equipment,1,engine equipment,185103,
engine_arg_xl_allround_01_mk1,ARG XL All-round Engine Mk1,engines,equipment,1,engine equipment,471179,
engine_arg_xl_travel_01_mk1,ARG XL Travel Engine Mk1,engines,equipment,1,engine equipment,494737,
engine_gen_spacesuit_01_mk1,Spacesuit Thrusters Mk1,engines,inventory,1,disallowdrop engine equipment inventory noblueprint nocustomgamestart noplayerblueprint personalupgrade,1000,
engine_gen_spacesuit_01_mk2,Spacesuit Thrusters Mk2,engines,inventory,1,disallowdrop engine equipment inventory noblueprint noplayerblueprint personalupgrade,60000,
engine_kha_l_destroyer_01_allround_01_mk1,Kha'ak L Engine,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,
engine_kha_m_combat_01_mk1,KHA M Combat Engine Mk1,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,
engine_kha_m_combat_02_mk1,KHA M Combat Engine Array Mk1,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,
engine_kha_s_combat_01_mk1,KHA S Combat Engine Mk1,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,
engine_kha_xl_battleship_01_allround_01_mk1,Kha'ak XL Engine,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,
engine_par_l_allround_01_mk1,PAR L All-round Engine Mk1,engines,equipment,1,engine equipment,360814,
engine_par_l_travel_01_mk1,PAR L Travel Engine Mk1,engines,equipment,1,engine equipment,378855,
engine_par_m_allround_01_mk1,PAR M All-round Engine Mk1,engines,equipment,1,engine equipment,13074,
engine_par_m_allround_01_mk2,PAR M All-round Engine Mk2,engines,equipment,1,engine equipment,64629,
engine_par_m_allround_01_mk3,PAR M All-round Engine Mk3,engines,equipment,1,engine equipment,319691,
engine_par_m_combat_01_mk1,PAR M Combat Engine Mk1,engines,equipment,1,engine equipment,15952,
engine_par_m_combat_01_mk2,PAR M Combat Engine Mk2,engines,equipment,1,engine equipment,77457,
engine_par_m_combat_01_mk3,PAR M Combat Engine Mk3,engines,equipment,1,engine equipment,383827,
engine_par_m_travel_01_mk1,PAR M Travel Engine Mk1,engines,equipment,1,engine equipment,14513,
engine_par_m_travel_01_mk2,PAR M Travel Engine Mk2,engines,equipment,1,engine equipment,72482,
engine_par_m_travel_01_mk3,PAR M Travel Engine Mk3,engines,equipment,1,engine equipment,367793,
engine_par_s_allround_01_mk1,PAR S All-round Engine Mk1,engines,equipment,1,engine equipment,6140,
engine_par_s_allround_01_mk2,PAR S All-round Engine Mk2,engines,equipment,1,engine equipment,29300,
engine_par_s_allround_01_mk3,PAR S All-round Engine Mk3,engines,equipment,1,engine equipment,137001,
engine_par_s_combat_01_mk1,PAR S Combat Engine Mk1,engines,equipment,1,engine equipment,9017,
engine_par_s_combat_01_mk2,PAR S Combat Engine Mk2,engines,equipment,1,engine equipment,45005,
engine_par_s_combat_01_mk3,PAR S Combat Engine Mk3,engines,equipment,1,engine equipment,201137,
engine_par_s_travel_01_mk1,PAR S Travel Engine Mk1,engines,equipment,1,engine equipment,7579,
engine_par_s_travel_01_mk2,PAR S Travel Engine Mk2,engines,equipment,1,engine equipment,38591,
engine_par_s_travel_01_mk3,PAR S Travel Engine Mk3,engines,equipment,1,engine equipment,185103,
engine_par_xl_allround_01_mk1,PAR XL All-round Engine Mk1,engines,equipment,1,engine equipment,475890,
engine_par_xl_travel_01_mk1,PAR XL Travel Engine Mk1,engines,equipment,1,engine equipment,499685,
engine_tel_l_allround_01_mk1,TEL L All-round Engine Mk1,engines,equipment,1,engine equipment,356928,
engine_tel_l_travel_01_mk1,TEL L Travel Engine Mk1,engines,equipment,1,engine equipment,374774,
engine_tel_m_allround_01_mk1,TEL M All-round Engine Mk1,engines,equipment,1,engine equipment,13064,
engine_tel_m_allround_01_mk2,TEL M All-round Engine Mk2,engines,equipment,1,engine equipment,64575,
engine_tel_m_allround_01_mk3,TEL M All-round Engine Mk3,engines,equipment,1,engine equipment,319421,
engine_tel_m_combat_01_mk1,TEL M Combat Engine Mk1,engines,equipment,1,engine equipment,15939,
engine_tel_m_combat_01_mk2,TEL M Combat Engine Mk2,engines,equipment,1,engine equipment,77391,
engine_tel_m_combat_01_mk3,TEL M Combat Engine Mk3,engines,equipment,1,engine equipment,383501,
engine_tel_m_travel_01_mk1,TEL M Travel Engine Mk1,engines,equipment,1,engine equipment,14501,
engine_tel_m_travel_01_mk2,TEL M Travel Engine Mk2,engines,equipment,1,engine equipment,72421,
engine_tel_m_travel_01_mk3,TEL M Travel Engine Mk3,engines,equipment,1,engine equipment,367481,
engine_tel_s_allround_01_mk1,TEL S All-round Engine Mk1,engines,equipment,1,engine equipment,6135,
engine_tel_s_allround_01_mk2,TEL S All-round Engine Mk2,engines,equipment,1,engine equipment,29276,
engine_tel_s_allround_01_mk3,TEL S All-round Engine Mk3,engines,equipment,1,engine equipment,136885,
engine_tel_s_combat_01_mk1,TEL S Combat Engine Mk1,engines,equipment,1,engine equipment,9011,
engine_tel_s_combat_01_mk2,TEL S Combat Engine Mk2,engines,equipment,1,engine equipment,44967,
engine_tel_s_combat_01_mk3,TEL S Combat Engine Mk3,engines,equipment,1,engine equipment,200966,
engine_tel_s_travel_01_mk1,TEL S Travel Engine Mk1,engines,equipment,1,engine equipment,7573,
engine_tel_s_travel_01_mk2,TEL S Travel Engine Mk2,engines,equipment,1,engine equipment,38559,
engine_tel_s_travel_01_mk3,TEL S Travel Engine Mk3,engines,equipment,1,engine equipment,221935,
engine_tel_xl_allround_01_mk1,TEL XL All-round Engine Mk1,engines,equipment,1,engine equipment,470766,
engine_tel_xl_travel_01_mk1,TEL XL Travel Engine Mk1,engines,equipment,1,engine equipment,494304,
engine_xen_l_allround_01_mk1,XEN L All-round Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,357024,
engine_xen_l_allround_02_mk1,XEN L All-round Engine Mk1,engines,equipment,1,engine equipment,357024,
engine_xen_m_combat_01_mk1,XEN M Combat Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,17568,
engine_xen_m_travel_01_mk1,XEN M Travel Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,15840,
engine_xen_m_virtual_01_mk1,XEN M Combat Engine Mk1,engines,equipment,1,engine equipment,17568,
engine_xen_s_combat_01_mk1,XEN S Combat Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,6816,
engine_xen_s_virtual_01_mk1,XEN S Combat Engine Mk1,engines,equipment,1,engine equipment,6816,
engine_xen_xl_allround_01_mk1,XEN XL All-round Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,471264,
fieldcoils,Field Coils,shiptech,container,15,container economy stationbuilding,412,
foodrations,Food Rations,food,container,1,container economy,21,
graphene,Graphene,refined,container,20,container economy,166,
helium,Helium,gases,liquid,6,economy gas liquid minable,44,
hullparts,Hull Parts,hightech,container,12,container economy stationbuilding,209,
hydrogen,Hydrogen,gases,liquid,6,economy gas liquid minable,58,
ice,Ice,ice,solid,8,economy minable mineral solid,30,
